,name,formatted_address,rating,user_ratings_total,types,price_level,dance_type,city
222,Casa De Salsa,"65 Fieldgate St, London E1 1JU, United Kingdom",5.0,22,"['night_club', 'point_of_interest', 'establishment']",,Bachata,London
223,"Rhythm & Vibes Dance Co - Kizomba, Salsa & Bachata Monthly Saturday Party in London","St Johns Angell Town School, 85 Angell Rd, London SW9 7HH, United Kingdom",4.7,51,"['point_of_interest', 'establishment']",,Bachata,London
224,"LATIN KRAZY THURSDAYS ,Salsa and Bachata Dance classes and Party night","Bar Salsa, Temple Pl, Temple, London WC2R 2PH, United Kingdom",3.6,14,"['night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",,Bachata,London
225,Caramelo Latin Dance Academy,"Paddington Academy, 50 Marylands Rd, London W9 2DR, United Kingdom",4.6,114,"['point_of_interest', 'establishment']",,Bachata,London
226,Bachata Kiss,"37 Tavistock Pl, London WC1H 9SE, United Kingdom",5.0,9,"['point_of_interest', 'establishment']",,Bachata,London
227,SOS Salsa On Sundays,"2 Regent's Park Rd, London NW1 7AY, United Kingdom",4.7,12,"['night_club', 'point_of_interest', 'establishment']",,Bachata,London
228,"Rhythm & Vibes Dance Co - Salsa, Bachata & Kizomba Classes Parties London","Salsa!, Victoria Embankment, Temple, London WC2R 2PH, United Kingdom",5.0,74,"['point_of_interest', 'establishment']",,Bachata,London
229,Wimbledon Salsa and Bachata Club and Classes,"44 St George's Rd, London SW19 4ED, United Kingdom",5.0,45,"['point_of_interest', 'establishment']",,Bachata,London
230,The Latin Passion,"Leicester House, 1 Leicester St, London WC2H 7BP, United Kingdom",4.8,16,"['point_of_interest', 'establishment']",,Bachata,London
231,Earl's Court Salsa & Bachata Club,"St Philip’s Church, Upper Grand Hall, Earls Ct Rd W8 6QH, United Kingdom",5.0,42,"['point_of_interest', 'establishment']",,Bachata,London
232,Salsateca Dance School,"27 Blackfriars Rd, London SE1 8NY, United Kingdom",4.9,89,"['point_of_interest', 'establishment']",,Bachata,London
233,CARAMBA Latin Club,"Nether Court, Frith Ln, London NW7 1PU, United Kingdom",5.0,2,"['point_of_interest', 'establishment']",,Bachata,London
234,Putney Salsa Club,"63A Upper Richmond Rd, London SW15 2RD, United Kingdom",4.7,22,"['point_of_interest', 'establishment']",,Bachata,London
235,Dos Mundos,"aleje Jerozolimskie 123A, 02-017 Warszawa, Poland",4.6,342,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Warsaw
236,Warsaw Salsa Club,"Nowowiejska 37B, 00-001 Warszawa, Poland",4.9,88,"['point_of_interest', 'establishment']",,Bachata,Warsaw
237,Teatro Cubano Warsaw,"Aleksandra Fredry 6, 00-097 Warszawa, Poland",3.5,6622,"['bar', 'movie_theater', 'night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']",,Bachata,Warsaw
238,ENKLAWA Art & Music Club,"Mazowiecka 12, 00-048 Warszawa, Poland",4.2,1658,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Bachata,Warsaw
239,Salsa Libre,"Żelazna 59, 00-848 Warszawa, Poland",4.7,245,"['point_of_interest', 'establishment']",,Bachata,Warsaw
240,Salsa Clasica,"Juliana Bartoszewicza 5, 00-337 Warszawa, Poland",4.8,97,"['point_of_interest', 'establishment']",,Bachata,Warsaw
241,Viva Cuba Dance Studio,"Marszałkowska 115 wejście od, Przechodnia, 00-102 Warszawa, Poland",4.8,131,"['point_of_interest', 'establishment']",,Bachata,Warsaw
242,Dance.warsaw & SDS (salsa + bachata + high heels + K-pop),"Chłodna 29, 00-867 Warszawa, Poland",4.8,81,"['point_of_interest', 'establishment']",,Bachata,Warsaw
243,Arthur Murray Dance Studio Warsaw,"Emilii Plater 10, 00-669 Warszawa, Poland",4.9,56,"['point_of_interest', 'establishment']",,Bachata,Warsaw
244,Luzztro,"aleje Jerozolimskie 6, 00-374 Warszawa, Poland",3.9,1102,"['night_club', 'point_of_interest', 'store', 'establishment']",2.0,Bachata,Warsaw
245,Salsa Passion Warszawa,"Skaryszewska 15, 03-802 Warszawa, Poland",4.9,53,"['point_of_interest', 'establishment']",,Bachata,Warsaw
246,Capitol Warsaw Club,"Marszałkowska 115, 00-102 Warszawa, Poland",3.5,405,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Warsaw
247,THE CUBAN PLACE,"Białobrzeska 32, 02-341 Warszawa, Poland",4.6,97,"['school', 'point_of_interest', 'establishment']",,Bachata,Warsaw
248,La Playa Music Bar,"Wybrzeże Helskie 1/5, 03-459 Warszawa, Poland",4.0,2298,"['night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",2.0,Bachata,Warsaw
249,Discoteca El Son,"C. de la Victoria, 6, Centro, 28012 Madrid, Spain",4.1,3323,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Bachata,Madrid
